Name,Price,Size,Category Gender,Rating,Review Count,Status,Product Link
Pocketable UV Protection Parka | Pattern,RM149.90,XS-XXL,WOMEN,No rating,No review,No Status,https://www.uniqlo.com/my/en/products/E474895-000
Pocketable UV Protection Parka,RM149.90,XS-XXL,WOMEN,4.9,(7),Made from recycled materials.,https://www.uniqlo.com/my/en/products/E474175-000
Miracle Air Jacket | Relaxed Fit | Co-ord,RM249.90,XS-XXL,WOMEN,5.0,(3),No Status,https://www.uniqlo.com/my/en/products/E474560-000
Windproof Vest,RM129.90,XS-XXL,UNISEX,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E476521-000
Denim Oversized Jacket,RM199.90,XS-XXL,WOMEN,5.0,(2),Limited Store,https://www.uniqlo.com/my/en/products/E474564-000
Windproof Stand Blouson,RM249.90,XS-XXL,WOMEN,5.0,(2),No Status,https://www.uniqlo.com/my/en/products/E474894-000
Jersey Relaxed Jacket,RM149.90,XS-XXL,WOMEN,5.0,(197),No Status,https://www.uniqlo.com/my/en/products/E469775-000
Drapey Wide Flare Jeans,RM149.90,22inch-32inch,WOMEN,4.8,(126),No Status,https://www.uniqlo.com/my/en/products/E477333-000
Linen Cotton Shorts,RM99.90,XS-3XL,WOMEN,4.8,(31),No Status,https://www.uniqlo.com/my/en/products/E473696-000
Miracle Air Wide Pants | Co-ord,RM149.90,XS-3XL,WOMEN,2.0,(1),No Status,https://www.uniqlo.com/my/en/products/E475819-000
Dry Sweat Pants,RM129.90,XS-3XL,WOMEN,4.2,(13),No Status,https://www.uniqlo.com/my/en/products/E476109-000
Pleated Wide Pants,RM149.90,XS-3XL,WOMEN,4.9,(966),No Status,https://www.uniqlo.com/my/en/products/E460311-000
Linen Blend Easy Pants | Stripe,RM99.90,XS-3XL,WOMEN,5.0,(4),No Status,https://www.uniqlo.com/my/en/products/E477006-000
Ultra Stretch Active Jogger Pants,RM129.90,XS-3XL,WOMEN,4.9,(863),No Status,https://www.uniqlo.com/my/en/products/E455942-000
AIRism Soft Ribbed Flare Leggings,RM129.90,S-XL,WOMEN,4.8,(4),Limited Store,https://www.uniqlo.com/my/en/products/E476115-000
Geared Pants,RM149.90,XS-3XL,WOMEN,5.0,(3),No Status,https://www.uniqlo.com/my/en/products/E477347-000
Smart Ankle Maternity Pants,RM149.90,XS-XXL,WOMEN,4.9,(20),Limited Store,https://www.uniqlo.com/my/en/products/E461136-000
Smart Ankle Pants,RM149.90,XS-3XL,WOMEN,4.9,(999+),No Status,https://www.uniqlo.com/my/en/products/E450606-000
Ultra Stretch Maternity Leggings Pants | Denim,RM149.90,XS-XXL,WOMEN,5.0,(4),No Status,https://www.uniqlo.com/my/en/products/E464153-000
Ultra Stretch Maternity Leggings Pants,RM149.90,XS-XXL,WOMEN,3.0,(2),No Status,https://www.uniqlo.com/my/en/products/E464152-000
Ultra Stretch Leggings Pants | Denim,RM129.90,XS-3XL,WOMEN,4.8,(77),No Status,https://www.uniqlo.com/my/en/products/E464149-000
Ultra Stretch Leggings Pants,RM129.90,XS-3XL,WOMEN,4.8,(130),No Status,https://www.uniqlo.com/my/en/products/E464148-000
Drape Easy Wide Pants,RM149.90,XS-3XL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E475829-000
Jersey Barrel Pants,RM149.90,XS-XXL,WOMEN,4.8,(24),No Status,https://www.uniqlo.com/my/en/products/E475344-000
Wide Chino Pants,RM149.90,XS-3XL,WOMEN,4.9,(176),No Status,https://www.uniqlo.com/my/en/products/E469828-000
Denim Shorts,No price,22inch-32inch,WOMEN,5.0,(1),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E475861-001
Denim Shorts,No price,22inch-32inch,WOMEN,5.0,(11),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E475861-000
Drapey Skort | Denim,RM99.90,XS-3XL,WOMEN,4.5,(28),No Status,https://www.uniqlo.com/my/en/products/E477522-000
Sweat Wide Pants,RM129.90,S-XL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E476108-000
Ultra Stretch Active Wide Pants,RM129.90,XS-3XL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E474481-000
Ultra Stretch Active Shorts,RM99.90,S-XL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E476112-000
Ribbed Bra Dress | Sleeveless,RM149.90,XS-3XL,WOMEN,No rating,No review,No Status,https://www.uniqlo.com/my/en/products/E477164-000
Ribbed Bra Dress | Sleeveless,RM149.90,XS-3XL,WOMEN,No rating,No review,No Status,https://www.uniqlo.com/my/en/products/E474080-000
Combination Dress,RM149.90,XS-XXL,WOMEN,5.0,(6),No Status,https://www.uniqlo.com/my/en/products/E474064-000
Ultra Stretch Dress,No price,XS-XXL,WOMEN,4.9,(9),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E474063-000
Linen Blend Jumpsuit | Stripe,RM179.90,XS-XXL,WOMEN,No rating,No review,No Status,https://www.uniqlo.com/my/en/products/E477616-000
Linen Blend Relaxed Dress | Short Sleeve,RM179.90,XS-XXL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E477619-000
Linen Blend Relaxed Dress,RM179.90,XS-XXL,WOMEN,No rating,No review,No Status,https://www.uniqlo.com/my/en/products/E477618-000
Linen Blend Relaxed Dress,RM179.90,XS-XXL,WOMEN,No rating,No review,No Status,https://www.uniqlo.com/my/en/products/E475833-000
Long Shirt Dress | Long Sleeve | Denim,RM179.90,S-L,WOMEN,No rating,No review,Limited Store,https://www.uniqlo.com/my/en/products/E476150-000
AIRism Cotton Flare Dress,RM129.90,XS-XXL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E474070-000
Linen Blend Jumpsuit,RM179.90,XS-XXL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E475806-000
Volume Gather Skirt,RM149.90,XS-XXL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E474958-000
Cotton Gathered Mini Dress | Sleeveless | Print,RM149.90,XS-XXL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E477843-000
Cotton Gathered Mini Dress | Sleeveless,RM149.90,XS-XXL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E477737-000
Cotton Poplin Dress,RM179.90,XS-XXL,WOMEN,No rating,No review,Available late Feb,https://www.uniqlo.com/my/en/products/E474069-000
Halter Neck Bra Sleeveless Top,RM99.90,XS-3XL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E477038-000
Halter Neck Bra Sleeveless Top,RM99.90,XS-3XL,WOMEN,5.0,(4),No Status,https://www.uniqlo.com/my/en/products/E473991-000
Soft Ribbed Tank Top,RM39.90,XS-XXL,WOMEN,4.7,(9),No Status,https://www.uniqlo.com/my/en/products/E474473-000
Ribbed Boat Neck T-shirt | Half Sleeve,RM59.90,XS-3XL,WOMEN,4.8,(13),No Status,https://www.uniqlo.com/my/en/products/E474406-000
Crew Neck T-shirt | Short Sleeve,RM49.90,XS-3XL,WOMEN,4.9,(999+),No Status,https://www.uniqlo.com/my/en/products/E424873-000
AIRism Cotton Low Back Bra T-Shirt,RM99.90,XS-3XL,WOMEN,4.7,(3),No Status,https://www.uniqlo.com/my/en/products/E477053-000
AIRism Cotton T-shirt | Short Sleeve,No price,XS-3XL,WOMEN,4.9,(999+),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E465755-000
AIRism Soft Cropped T-shirt,RM59.90,XS-3XL,WOMEN,4.8,(24),New Color,https://www.uniqlo.com/my/en/products/E474411-000
SUPIMA Cotton Crew Neck T-shirt | Short Sleeve,RM49.90,XS-3XL,WOMEN,4.8,(20),No Status,https://www.uniqlo.com/my/en/products/E474408-000
Ribbed Boat Neck T-shirt | Half Sleeve | Stripe,RM59.90,XS-3XL,WOMEN,4.6,(5),No Status,https://www.uniqlo.com/my/en/products/E475842-000
Mini T-shirt | Short Sleeve | Stripe,No price,XS-3XL,WOMEN,4.9,(253),VALUE BUY,https://www.uniqlo.com/my/en/products/E476248-000
Mini T-shirt | Short Sleeve,RM49.90,XS-3XL,WOMEN,4.9,(999+),No Status,https://www.uniqlo.com/my/en/products/E465760-000
AIRism Cotton T-Shirt | Long Sleeve | Stripe,RM59.90,XS-3XL,WOMEN,4.8,(6),No Status,https://www.uniqlo.com/my/en/products/E476647-000
Boxy Rugger Polo Shirt | Long Sleeve,RM149.90,S-L,WOMEN,4.7,(3),Limited Store,https://www.uniqlo.com/my/en/products/E476171-000
Boxy Crew Neck Sweatshirt,RM149.90,S-L,WOMEN,5.0,(1),Limited Store,https://www.uniqlo.com/my/en/products/E476170-000
Dry Sweat Full-Zip Hoodie,RM149.90,XS-XXL,WOMEN,5.0,(5),No Status,https://www.uniqlo.com/my/en/products/E475855-000
AIRism Cotton T-Shirt | Long Sleeve,RM59.90,XS-3XL,WOMEN,4.7,(27),No Status,https://www.uniqlo.com/my/en/products/E474402-000
Waffle Crew Neck T-shirt | Long Sleeve,RM59.90,XS-3XL,WOMEN,4.9,(999+),Made from recycled materials.,https://www.uniqlo.com/my/en/products/E449860-000
AIRism Cotton Relaxed Long T-shirt,RM59.90,XS-3XL,WOMEN,5.0,(2),No Status,https://www.uniqlo.com/my/en/products/E477686-000
Sweat Hoodie | Sleeveless,RM129.90,S-XL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E474468-000
AIRism Soft Ribbed T-shirt | Sleeveless,RM49.90,S-XL,WOMEN,5.0,(7),Available early Feb,https://www.uniqlo.com/my/en/products/E476169-000
AIRism Seamless T-shirt,RM79.90,S-XL,WOMEN,5.0,(7),Available early Feb,https://www.uniqlo.com/my/en/products/E474415-000
Ultra Stretch Active Blouson,RM149.90,XS-XXL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E476111-000
AIRism UV Protection Full-Zip Hoodie,RM129.90,XS-3XL,WOMEN,No rating,No review,Available Mid-Mar,https://www.uniqlo.com/my/en/products/E477602-000
Linen Blend Open Collar Shirt | Short Sleeve | Checked,RM99.90,XS-3XL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E477635-000
Linen Blend Blouse | Volume Sleeve | Print,RM99.90,XS-3XL,WOMEN,4.7,(9),No Status,https://www.uniqlo.com/my/en/products/E477604-000
Linen Blend Blouse | Volume Sleeve,RM99.90,XS-3XL,WOMEN,4.7,(27),No Status,https://www.uniqlo.com/my/en/products/E475655-000
Linen Blend Open Collar Shirt | Short Sleeve | Stripe,RM99.90,XS-3XL,WOMEN,4.9,(17),No Status,https://www.uniqlo.com/my/en/products/E475652-000
Linen Blend Open Collar Shirt | Short Sleeve,RM99.90,XS-3XL,WOMEN,4.9,(34),No Status,https://www.uniqlo.com/my/en/products/E475651-000
Rayon Blouse | Short Sleeve | Print,RM99.90,XS-XXL,WOMEN,5.0,(17),No Status,https://www.uniqlo.com/my/en/products/E477742-000
Drape Blouse | 3/4 Sleeve,No price,XS-XL,WOMEN,4.0,(9),VALUE BUY,https://www.uniqlo.com/my/en/products/E475667-000
Linen Blend Band Collar Shirt | 3/4 Sleeve | Stripe,RM129.90,XS-3XL,WOMEN,No rating,No review,New,https://www.uniqlo.com/my/en/products/E475654-000
Linen Blend Band Collar Shirt | 3/4 Sleeve,RM129.90,XS-3XL,WOMEN,No rating,No review,New,https://www.uniqlo.com/my/en/products/E475653-000
Rayon Skipper Collar Blouse | 3/4 Sleeve | Stripe,RM129.90,XS-3XL,WOMEN,5.0,(22),No Status,https://www.uniqlo.com/my/en/products/E475660-000
Rayon Skipper Collar Blouse | 3/4 Sleeve,RM129.90,XS-3XL,WOMEN,4.8,(136),No Status,https://www.uniqlo.com/my/en/products/E469419-000
Oversized Shirt | Long Sleeve | Denim,RM149.90,S-L,WOMEN,5.0,(3),Limited Store,https://www.uniqlo.com/my/en/products/E475717-000
Frilled Blouse | Long Sleeve,No price,XS-XXL,WOMEN,5.0,(2),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E475671-000
Cotton Shirt | Long Sleeve | Stripe,RM129.90,XS-3XL,WOMEN,4.2,(6),No Status,https://www.uniqlo.com/my/en/products/E475666-000
Cotton Shirt | Long Sleeve,RM129.90,XS-3XL,WOMEN,4.6,(53),No Status,https://www.uniqlo.com/my/en/products/E469421-000
Premium Linen Shirt | Long Sleeve | Stripe,RM149.90,XS-3XL,WOMEN,5.0,(2),No Status,https://www.uniqlo.com/my/en/products/E475648-000
Premium Linen Shirt | Long Sleeve,RM149.90,XS-3XL,WOMEN,5.0,(2),New Color,https://www.uniqlo.com/my/en/products/E475647-000
Rayon Gathered Tunic | Long Sleeve,RM129.90,XS-3XL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E477234-000
Rayon Blouse | Print,RM129.90,XS-3XL,WOMEN,5.0,(5),No Status,https://www.uniqlo.com/my/en/products/E475658-000
Seersucker Volume Blouse | Short Sleeve | Gingham,RM99.90,XS-XXL,WOMEN,No rating,No review,Available Mid-Feb,https://www.uniqlo.com/my/en/products/E476775-000
Seersucker Volume Blouse | Short Sleeve,RM99.90,XS-XXL,WOMEN,No rating,No review,Available Mid-Feb,https://www.uniqlo.com/my/en/products/E475677-000
Embroidery Band Collar Blouse | Long Sleeve,RM129.90,XS-3XL,WOMEN,No rating,No review,Available early Feb,https://www.uniqlo.com/my/en/products/E477233-000
Dry Sweat Full-Zip Hoodie,RM149.90,XS-XXL,WOMEN,5.0,(5),No Status,https://www.uniqlo.com/my/en/products/E475855-000
Boxy Crew Neck Sweatshirt,RM149.90,S-L,WOMEN,5.0,(1),Limited Store,https://www.uniqlo.com/my/en/products/E476170-000
Sweatshirt,RM129.90,XS-3XL,UNISEX,4.8,(13),No Status,https://www.uniqlo.com/my/en/products/E475377-000
Sweat Pullover Hoodie,RM149.90,XS-3XL,UNISEX,4.6,(10),No Status,https://www.uniqlo.com/my/en/products/E475378-000
Sweat Pullover Hoodie,RM149.90,XS-XXL,UNISEX,4.9,(36),No Status,https://www.uniqlo.com/my/en/products/E471808-000
Sweat Full-Zip Hoodie,RM149.90,XS-3XL,UNISEX,4.9,(12),No Status,https://www.uniqlo.com/my/en/products/E475380-000
Dry Sweat Pants,RM129.90,XS-3XL,WOMEN,4.2,(13),No Status,https://www.uniqlo.com/my/en/products/E476109-000
Sweat Wide Pants,RM129.90,XS-XXL,UNISEX,4.9,(191),No Status,https://www.uniqlo.com/my/en/products/E471809-000
Ribbed Polo Cardigan | Half Sleeve,RM129.90,XS-3XL,WOMEN,5.0,(1),No Status,https://www.uniqlo.com/my/en/products/E477081-000
Cable Crew Neck Cardigan,RM149.90,XS-XXL,WOMEN,No rating,No review,New,https://www.uniqlo.com/my/en/products/E478222-000
Smooth Cotton Relaxed Polo Sweater | Stripe,RM149.90,XS-3XL,WOMEN,5.0,(10),No Status,https://www.uniqlo.com/my/en/products/E476973-000
3D Knit Cotton Relaxed V Neck Sweater | Stripe,RM149.90,XS-3XL,WOMEN,4.6,(8),No Status,https://www.uniqlo.com/my/en/products/E476766-000
Smooth Cotton Crew Neck Sweater,RM149.90,XS-3XL,WOMEN,4.8,(19),No Status,https://www.uniqlo.com/my/en/products/E475053-000
3D Knit Cotton Relaxed V Neck Sweater,RM149.90,XS-3XL,WOMEN,4.4,(8),No Status,https://www.uniqlo.com/my/en/products/E474978-000
Washable Knit Ribbed Polo Sweater | Co-ord,RM99.90,XS-3XL,WOMEN,4.9,(208),No Status,https://www.uniqlo.com/my/en/products/E471220-000
3D Knit Cotton Crew Neck Sweater,RM149.90,XS-3XL,WOMEN,4.7,(156),No Status,https://www.uniqlo.com/my/en/products/E461090-000
UV Protection Crew Neck Cardigan | Stripe,RM99.90,XS-3XL,WOMEN,5.0,(5),No Status,https://www.uniqlo.com/my/en/products/E476975-000
UV Protection Crew Neck Cardigan,RM99.90,XS-3XL,WOMEN,4.9,(195),No Status,https://www.uniqlo.com/my/en/products/E465484-000
Pajamas | Long Sleeve | Multi Stripe,RM129.90,XS-3XL,WOMEN,No rating,No review,New,https://www.uniqlo.com/my/en/products/E477079-000
Pajamas | Long Sleeve | Pin Stripe,RM129.90,XS-3XL,WOMEN,No rating,No review,New,https://www.uniqlo.com/my/en/products/E477007-000
Satin Pajamas | Long Sleeve,No price,XS-3XL,WOMEN,5.0,(1),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E473797-000
AIRism Cotton Pajamas | Long Sleeve | Print,No price,XS-3XL,WOMEN,5.0,(1),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E473795-000
AIRism Cotton Pajamas | Long Sleeve,No price,XS-3XL,WOMEN,5.0,(23),Limited Offer from 24 Jan 2025 - 29 Jan 2025,https://www.uniqlo.com/my/en/products/E470162-000
Linen Blend Easy Pants | Stripe,RM99.90,XS-3XL,WOMEN,5.0,(4),No Status,https://www.uniqlo.com/my/en/products/E477006-000
Cotton Relaxed Ankle Pants | Stripe,RM79.90,XS-3XL,WOMEN,4.9,(15),No Status,https://www.uniqlo.com/my/en/products/E476655-000
Linen Blend Easy Pants,RM99.90,XS-3XL,WOMEN,4.8,(13),No Status,https://www.uniqlo.com/my/en/products/E473791-000
Cotton Relaxed Ankle Pants | Denim,RM79.90,XS-3XL,WOMEN,4.9,(311),No Status,https://www.uniqlo.com/my/en/products/E471401-000
Washable Knit Ribbed Pants | Co-ord,RM99.90,XS-3XL,WOMEN,4.8,(148),No Status,https://www.uniqlo.com/my/en/products/E470173-000
Cotton Relaxed Ankle Pants,RM79.90,XS-3XL,WOMEN,4.8,(981),No Status,https://www.uniqlo.com/my/en/products/E466026-000
Cotton Easy Shorts | Print,RM59.90,XS-3XL,WOMEN,4.7,(6),No Status,https://www.uniqlo.com/my/en/products/E477647-000
Cotton Easy Shorts | Denim,RM59.90,XS-3XL,WOMEN,4.9,(15),No Status,https://www.uniqlo.com/my/en/products/E473761-000
Cotton Easy Shorts,RM59.90,XS-3XL,WOMEN,5.0,(22),No Status,https://www.uniqlo.com/my/en/products/E473760-000
